State,Region
AK,West
AL,Southeast
AR,Southeast
AZ,Southwest
CA,West
CO,West
CT,Northeast
DC,Northeast
DE,Northeast
FL,Southeast
GA,Southeast
HI,West
IA,Midwest
ID,West
IL,Midwest
IN,Midwest
KS,Midwest
KY,Southeast
LA,Southeast
MA,Northeast
MD,Northeast
ME,Northeast
MI,Midwest
MN,Midwest
MO,Midwest
MS,Southeast
MT,West
NC,Southeast
ND,Midwest
NE,Midwest
NH,Northeast
NJ,Northeast
NM,Southwest
NV,West
NY,Northeast
OH,Midwest
OK,Southwest
OR,West
PA,Northeast
RI,Northeast
SC,Southeast
SD,Midwest
TN,Southeast
TX,Southwest
UT,West
VA,Southeast
VT,Northeast
WA,West
WI,Midwest
WV,Southeast
WY,West